protein	comparison	logFC	pvalue	qvalue
A8MXV4	ecoli_3-ecoli_2	0.16452729887042533	0.058080214228086284	0.23142046925117107
A8MXV4	ecoli_7-ecoli_2	0.13970114437229633	0.09491954052198237	0.6604572377003153
A8MXV4	ecoli_7-ecoli_3	-0.024826154498128992	0.7382626338201557	1
A8MZA4, H0YM25, Q8N7Z2	ecoli_2-ecoli_1	0	1	1
A8MZA4, H0YM25, Q8N7Z2	ecoli_3-ecoli_1	0	1	1
A8MZA4, H0YM25, Q8N7Z2	ecoli_7-ecoli_1	0	1	1
A8MZA4, H0YM25, Q8N7Z2	ecoli_3-ecoli_2	0	1	1
A8MZA4, H0YM25, Q8N7Z2	ecoli_7-ecoli_2	0	1	1
A8MZA4, H0YM25, Q8N7Z2	ecoli_7-ecoli_3	0	1	1
B0I1T2	ecoli_2-ecoli_1	-0.13988923865055514	0.15368888005826087	1
B0I1T2	ecoli_3-ecoli_1	-0.014136521275784533	0.8750671643827936	1
B0I1T2	ecoli_7-ecoli_1	-0.23960742712545244	0.03039349271147489	0.8488415856575949
B0I1T2	ecoli_3-ecoli_2	0.12575271737477062	0.1929739144000989	0.5373046218225253
B0I1T2	ecoli_7-ecoli_2	-0.0997181884748973	0.28984570351988226	1
B0I1T2	ecoli_7-ecoli_3	-0.2254709058496679	0.03805737791587769	0.261652753578272
B1AKI9	ecoli_2-ecoli_1	3.9741035423710173e-14	0.9999995429383153	1
B1AKI9	ecoli_3-ecoli_1	-1.5285145066364123e-14	0.9999998242055326	1
B1AKI9	ecoli_7-ecoli_1	-3.211848963386622e-14	0.9999996306052213	1
B1AKI9	ecoli_3-ecoli_2	-5.5026180490074296e-14	0.9999993671438479	1
B1AKI9	ecoli_7-ecoli_2	-7.18595250575764e-14	0.9999991735435366	1
B1AKI9	ecoli_7-ecoli_3	-1.68333445675021e-14	0.9999998063996888	1
B2RPK0, P09429	ecoli_2-ecoli_1	0	1	1
B2RPK0, P09429	ecoli_3-ecoli_1	0	1	1
B2RPK0, P09429	ecoli_7-ecoli_1	0	1	1
B2RPK0, P09429	ecoli_3-ecoli_2	0	1	1
B2RPK0, P09429	ecoli_7-ecoli_2	0	1	1
B2RPK0, P09429	ecoli_7-ecoli_3	0	1	1
B2RXH8, O60812, P07910	ecoli_2-ecoli_1	-1.3489194373385792e-18	0.9999999990706091	1
B2RXH8, O60812, P07910	ecoli_3-ecoli_1	4.2257340360805635e-18	0.999999997088515	1
B2RXH8, O60812, P07910	ecoli_7-ecoli_1	3.298474126368947e-18	0.999999997727387	1
B2RXH8, O60812, P07910	ecoli_3-ecoli_2	5.574653473419143e-18	0.999999996159124	1
B2RXH8, O60812, P07910	ecoli_7-ecoli_2	4.647393563707527e-18	0.9999999967979961	1
B2RXH8, O60812, P07910	ecoli_7-ecoli_3	-9.272599097116165e-19	0.9999999993611279	1
B3KS81	ecoli_2-ecoli_1	2.4489867397131913e-17	0.9999999942927522	1
B3KS81	ecoli_3-ecoli_1	2.6593310583630347e-17	0.9999999938025547	1
